epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.213,0.7812,1.00982,1.18708,0.82192,0.80897,0.87956,0.73532,0.54058,0.66577,0.99645,0.06733,0.00033,0.00033
2,308.062,0.79856,0.92966,1.1821,0.83278,0.81025,0.88282,0.73727,0.54846,0.65244,1.00299,0.0342972,0.000630498,0.000630498
3,453.83,0.77145,0.90214,1.15904,0.81318,0.81173,0.88311,0.74568,0.55469,0.63996,1.00046,0.00123133,0.000897997,0.000897997
4,599.348,0.72355,0.84305,1.12781,0.86222,0.77726,0.88583,0.7384,0.56558,0.64491,1.00605,0.0008515,0.0008515,0.0008515
5,745.164,0.69972,0.83144,1.09349,0.81117,0.81508,0.87964,0.73687,0.55765,0.63789,0.99645,0.000802,0.000802,0.000802
6,890.676,0.71816,0.84048,1.1261,0.85437,0.76493,0.87693,0.7355,0.55141,0.64177,0.98695,0.0007525,0.0007525,0.0007525
7,1036.22,0.71999,0.82314,1.12773,0.78562,0.83857,0.87659,0.73678,0.54618,0.63655,0.99009,0.000703,0.000703,0.000703
8,1181.65,0.7205,0.82302,1.11745,0.78204,0.83374,0.88161,0.74406,0.53814,0.63221,0.98959,0.0006535,0.0006535,0.0006535
9,1327.18,0.70078,0.84359,1.11206,0.80626,0.83306,0.87829,0.74146,0.55866,0.62338,1.00372,0.000604,0.000604,0.000604
10,1473.06,0.72251,0.86228,1.11694,0.8334,0.80527,0.87814,0.73616,0.55051,0.63699,0.9983,0.0005545,0.0005545,0.0005545
11,1617.43,0.43199,0.50973,0.92087,0.83698,0.80889,0.8785,0.73912,0.55514,0.63083,0.9921,0.000505,0.000505,0.000505
12,1761.05,0.4283,0.49443,0.9334,0.82965,0.81196,0.87152,0.73546,0.54757,0.61742,0.99333,0.0004555,0.0004555,0.0004555
13,1904.26,0.4083,0.46045,0.92019,0.85881,0.78188,0.87956,0.7457,0.53572,0.62008,0.98737,0.000406,0.000406,0.000406
